,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q9_1
2,4,4.0,4.0,5.0,3.0,1.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,7.0
3,5,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,,4.0,10.0
4,5,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,2.0,5.0,3.0,10.0
5,4,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,1.0,5.0,1.0,8.0
6,3,2.0,4.0,4.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,0.0,2.0,4.0,3.0
7,3,,,,,,,,,,,,,,
8,3,4.0,2.0,4.0,1.0,0.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,5.0
9,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,7.0
10,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0
11,4,4.0,2.0,1.0,2.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,,8.0
12,5,5.0,5.0,5.0,2.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,3.0,2.0,10.0
13,3,4.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,10.0
14,5,,,,,5.0,5.0,,,,,,,,
15,4,2.0,5.0,5.0,1.0,4.0,4.0,1.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0
16,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,,,,,
17,4,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0
18,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,10.0
19,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,8.0
20,5,3.0,5.0,5.0,3.0,5.0,5.0,3.0,,,3.0,2.0,5.0,4.0,
21,4,5.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,8.0
22,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,2.0,3.0,1.0,10.0
23,4,3.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0
24,4,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,7.0
25,5,2.0,4.0,2.0,4.0,2.0,5.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,4.0
26,5,5.0,4.0,5.0,1.0,5.0,5.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,5.0
27,3,4.0,4.0,5.0,3.0,4.0,5.0,2.0,4.0,1.0,3.0,2.0,5.0,4.0,8.0
28,5,4.0,5.0,5.0,3.0,4.0,4.0,3.0,2.0,0.0,2.0,1.0,2.0,2.0,5.0
29,4,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0
30,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,3.0,5.0,3.0,10.0
31,4,5.0,5.0,5.0,3.0,3.0,5.0,3.0,4.0,1.0,4.0,2.0,4.0,3.0,6.0
32,3,3.0,3.0,5.0,2.0,3.0,5.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,9.0
33,4,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,8.0
34,3,2.0,5.0,5.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,5.0
35,5,3.0,5.0,5.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,4.0,5.0,3.0,10.0
36,1,5.0,4.0,3.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,7.0
37,4,3.0,5.0,5.0,3.0,2.0,5.0,2.0,4.0,5.0,5.0,5.0,5.0,5.0,10.0
38,4,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0
39,5,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,4.0,10.0
40,5,5.0,5.0,1.0,5.0,5.0,5.0,1.0,,,,,,,2.0
41,5,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,9.0
42,5,3.0,5.0,3.0,4.0,4.0,5.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,6.0
43,3,3.0,4.0,5.0,3.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,2.0,8.0
